Rank,Female Name,Count,Male Name,Count_
301,Justine,1991,Tyson,1403
302,Marlene,1980,Anton,1401
303,Zara,1979,Danny,1398
304,Rebekah,1977,Wallace,1393
305,Isobel,1968,Sonny,1364
306,Miriam,1966,Aiden,1363
307,Rosalie,1965,Fredrick,1363
308,Alicia,1964,Quinn,1363
309,Virginia,1962,Errol,1358
310,Eden,1960,Damien,1347
311,Fanny,1951,Jonathon,1341
312,Pearl,1948,Ezra,1327
313,Aileen,1917,Alister,1326
314,Eunice,1894,Brad,1326
315,Cynthia,1876,Tyrone,1314
316,Sonia,1875,Tamati,1312
317,Rona,1864,Hugo,1305
318,Dulcie,1862,Elliot,1296
319,Taylor,1861,Dallas,1292
320,Tara,1860,Marc,1292
321,Mikayla,1858,Phoenix,1275
322,Johanna,1842,Carlos,1272
323,Maggie,1838,Isaiah,1267
324,Isabelle,1830,Athol,1262
325,Jenna,1811,Josiah,1256
326,Madeline,1807,Damon,1236
327,Faith,1776,Hemi,1234
328,Janette,1757,Harvey,1222
329,Casey,1717,Kelly,1216
330,Crystal,1696,Clayton,1212
331,Freda,1694,Brodie,1203
332,Nikita,1685,Spencer,1194
333,Nora,1684,Nelson,1192
334,Leigh,1677,Stefan,1190
335,Rhonda,1674,Beau,1178
336,Moana,1672,Jeremiah,1173
337,Gina,1661,Theo,1171
338,Mila,1655,Conrad,1168
339,Adele,1654,Percival,1164
340,Claudia,1652,Rawiri,1164
341,Madeleine,1639,Rowan,1160
342,Maxine,1637,Lester,1157
343,Michaela,1634,Jaxon,1139
344,Heidi,1632,Shayne,1131
345,Alyssa,1631,Kaleb,1124
346,Sonya,1626,Quentin,1123
347,Aria,1619,Henare,1122
348,Henrietta,1602,Joe,1109
349,Harper,1601,Darcy,1108
350,Erica,1597,Wade,1101
